title,date,url,scandal_of_company,company_name,related_company_name
損保ジャパン「不祥事忘れない」 社員向けに資料展示室,2024-11-07 15:05:18,https://www.nikkei.com/article/DGXZQOUB070900X01C24A1000000/,Y,損保ジャパン,-
一大イベントの直前に不祥事発覚 カナデビア社長「極めて残念」,2024-11-08 15:02:29,https://www.asahi.com/articles/ASSC81SZQSC8ULFA027M.html,Y,カナデビア,-
不祥事相次ぐ鹿児島県警 警察庁の見解は? 書面で回答された本部長の転出経緯と、「隠蔽の疑惑なし」との結論根拠,2024-11-09 07:00:00,https://373news.com/_news/storyid/204175/,N,鹿児島県警,-
また土木部...25歳福島県職員が逮捕 盗撮か 入札巡る県職員3人の起訴に続き 再発防止の徹底虚しく：ニュース,2024-11-06 19:20:00,https://www.fukushima-tv.co.jp/localnews/2024/11/2024110600000011.html,N,福島県,-
ＩＣＣ主任検察官の不祥事調査,2024-11-12 06:36:26,https://webun.jp/articles/-/706439,N,ICC主任検察官,-
鹿児島県警不祥事の指示巡り長官訓戒 野川前本部長 自動車安全運転センターへ異動,2024-11-07 18:45:00,https://www.fnn.jp/articles/-/783829,N,鹿児島県警,-
損保ジャパン、本社に不祥事の「伝承室」を設置 毎年11月を振り返りの月間に｜自動車流通・新車ディーラー｜紙面記事,2024-11-13 05:00:00,https://www.netdenjd.com/articles/-/309451,Y,損保ジャパン,-
ＩＣＣ主任検察官の不祥事調査 女性職員にセクハラ疑惑,2024-11-12 06:36:26,https://www.niigata-nippo.co.jp/articles/-/507999,N,ICC主任検察官,-
わいせつ行為で複数女性が被害 高知県職員に停職１年の重い懲戒処分 不同意の身体接触など,2024-11-09 08:35:00,https://www.kochinews.co.jp/article/detail/802501,N,高知県職員,-
金融庁が野村に再発防止要求、元社員逮捕｢重く受け止め｣－関係者,2024-11-08 09:50:00,https://www.bloomberg.co.jp/news/articles/2024-11-08/SMKHROT0G1KW00,Y,野村,野村ホールディングス
不祥事続発で「越境」研修 損保Ｊ、上意下達を是正,2024-11-12 04:00:00,https://www.sanin-chuo.co.jp/articles/-/678386,Y,損保J,-
ICC主任検察官の不祥事調査 女性職員にセクハラ疑惑 ｜ 共同通信,2024-11-12 06:36:00,https://nordot.app/1228821285608849628,N,ICC主任検察官,-
給付金詐欺総額2億円に大麻所持… 国税さん、最近若手の不祥事がちょっと多くないですか？,2024-11-08 06:09:03,https://gendai.media/articles/-/140582,N,国税,-
ICC主任検察官の不祥事調査 女性職員にセクハラ疑惑,2024-11-12 06:36:44,https://www.nippon.com/ja/news/kd1228821285608849628/,N,ICC主任検察官,-
ＩＣＣ主任検察官の不祥事調査 女性職員にセクハラ疑惑,2024-11-12 06:36:26,https://www.nnn.co.jp/articles/-/422273,N,ICC主任検察官,-
【 画像2/2枚 】一大イベントの直前に不祥事発覚 カナデビア社長「極めて残念」,2024-11-08 15:02:29,https://www.asahi.com/amp/articles/photo/AS20241108001870.html,Y,カナデビア,-
ジョッキでビール7杯「当時の記憶ない」…酒席でセクハラ 49歳男性教諭を減給処分 本年度懲戒18件目、県教委は不祥事防止強化へ体験型研修実施へ,2024-11-07 21:01:00,https://373news.com/_news/storyid/204116/,N,男性教諭,-
総代会で不祥事を謝罪 県民信組,2024-11-08 19:45:00,https://www.sannichi.co.jp/article/2024/11/08/80586760?g\u003dca_l_national,N,県民信組,-
ＩＣＣ主任検察官の不祥事調査 - 女性職員にセクハラ疑惑,2024-11-12 07:33:12,https://www.nara-np.co.jp/global/2024111201000170.html,N,ICC主任検察官,-
7月不祥事「猛省しゴルフに向き合っていきたい」3季連続シードの31歳の出場停止明ける、14日開幕ダンロップフェニックス出場へ,2024-11-12 07:06:28,https://nishispo.nishinippon.co.jp/article/872836?rct\u003dothers,N,-,-
ＩＣＣ主任検察官の不祥事調査 女性職員にセクハラ疑惑,2024-11-12 06:36:27,https://www.chunichi.co.jp/article/985077?rct\u003dworld,N,ICC主任検察官,-
最新のビデオ,2024-11-11 14:31:36,https://www.reuters.com/video/watch/idOWjpvC8JLNCUI5Z1XH7668DG9SKS37C/,N,-,-
『マイダイアリー』「大事なお知らせ」に反響 吉川愛ミニスカ推し活姿→急転「不祥事とか？」「ダメージでかいわ」,2024-11-13 14:19:59,https://www1.yamagata-np.jp/oricon/print.php?id\u003d2353970,N,吉川愛,-
