title,date,url,scandal_of_company,company_name,related_company_name
《証拠データ入手》JRA騎手・藤田菜七子（27）に“スマホ不正使用”疑惑「SNSのやりとりには日時も記録されており…」,2024-10-09 16:00:00,https://bunshun.jp/articles/-/74032,N,藤田菜七子,-
全国一斉燃料抜き取り調査 不正な軽油使用は脱税行為 県内では確認されず,2024-10-16 16:00:00,https://news.ntv.co.jp/n/kyt/category/society/ky595f0195f14b4df69945163055d526a0,N,-,-
金正恩総書記「不正蓄財根絶の取り組み繰り広げる」 朝鮮労働党内部の引き締めか,2024-10-10 16:00:00,https://news.ntv.co.jp/category/international/418430b11869428691b8321c8b78761b,N,金正恩,-
三菱電機、情報漏洩・不正リスクを予見する監査AIソリューション「KIBIT Eye」を導入,2024-10-10 16:00:00,https://aismiley.co.jp/ai_news/fronteo-audit-ai-solution-introduction/,Y,三菱電機,三菱電機
架空名義でコンサートチケット不正入手 20代の2人に有罪判決 札幌地裁,2024-10-11 16:00:00,https://www.sankei.com/article/20241011-Z6MNGWSI5JNG7BH6IJ4CBOBOSU/,N,-,-
女性らを不利に扱った入試、東京医科大への賠償命令が確定 最高裁,2024-10-11 16:00:00,https://www.asahi.com/articles/ASSBC313YSBCUTIL025M.html,N,東京医科大,-
日本郵便、ゆうちょ顧客155万人をリストに 役員処分も,2024-10-11 16:00:00,https://www.nikkei.com/article/DGXZQOUA118Y70R11C24A0000000/,Y,日本郵便,日本郵政
「手口解明や返金処理に時間がかかる」 不正利用めぐる対応でイオンカード謝罪,2024-10-09 16:00:00,https://k-tai.watch.impress.co.jp/docs/news/1630148.html,Y,イオンカード,イオン
研究費２１４５万円 不正受給認定 岡山大、論文捏造の元教授,2024-10-11 16:00:00,https://www.sanyonews.jp/article/1622996,N,岡山大,-
不祥事は見逃されず,2024-10-09 16:00:00,https://project.nikkeibp.co.jp/ESG/atcl/column/00028/100200005/,N,-,-
日本郵政の株価反発 顧客情報不正流用の再発防止策評価,2024-10-15 16:00:00,https://www.nikkei.com/article/DGXZQOFL151JO0V11C24A0000000/,Y,日本郵政,日本郵政
民営化後、全国で不正勧誘 日本郵便、１５５万人リスト化｜経済｜全国のニュース,2024-10-12 16:00:00,https://www.hokkoku.co.jp/articles/-/1545378,Y,日本郵便,日本郵政
カッパ・クリエイト／社員の不正競争防止法違反で罰金3000万円,2024-10-09 16:00:00,https://www.ryutsuu.biz/strategy/q100943.html,Y,カッパ・クリエイト,カッパ・クリエイト
水戸京成 不正受給 元総務部長に懲役3年,2024-10-15 16:00:00,https://lucky-ibaraki.com/news_list/596931/,Y,水戸京成,京成電鉄
脅威アクターがシスコシステムズへ不正アクセスを主張 ハッキングしたデータを販売中|セキュリティニュース,2024-10-15 16:00:00,https://rocket-boys.co.jp/9541/,Y,シスコシステムズ,-
"「タリーズ オンラインストア」への不正アクセス、92,685 名の会員情報と 52,958 名のカード情報が漏えいの可能性",2024-10-16 16:00:00,https://scan.netsecurity.ne.jp/article/2024/10/16/51767.html,Y,タリーズ オンラインストア,タリーズ
ゆうちょ銀の顧客情報を不正流用、対象は155万人,2024-10-11 16:00:00,https://mainichi.jp/articles/20241011/k00/00m/040/319000c,Y,ゆうちょ銀,日本郵政
“怒られるのが怖いから上司に従う”が企業不正につながる 組織崩壊につながりかねない「手段の目的化」を防ぐには,2024-10-09 16:00:00,https://logmi.jp/main/management/331058,N,-,-
カシオ、“G-SHOCK”新製品の発売延期、オンラインストアは出荷遅延──不正アクセス調査の影響で,2024-10-11 16:00:00,https://www.itmedia.co.jp/news/articles/2410/11/news119.html,Y,カシオ,カシオ計算機
金融庁が損保代理店の規制強化、管理態勢の整備義務付けへ BMの不正請求問題受け,2024-10-16 16:00:00,https://www.sankei.com/article/20241016-CL6DYPRW3ZJBJP7E2RFRHBP4JA/,Y,BM,-
"健美家のデータベースに不正アクセス、新たに 60,153 名分の情報が対象となることが判明",2024-10-11 16:00:00,https://s.netsecurity.ne.jp/article/2024/10/11/51752.html,Y,健美家,-
チケット不正転売問題の今 SNS取引が巧妙化,2024-10-09 16:00:00,https://www.recycle-tsushin.com/news/detail_10187.php,N,-,-
