title,date,url,scandal_of_company,company_name,related_company_name
,,,Y,損保ジャパン,-
,,,Y,カナデビア,-
,,,N,鹿児島県警,-
,,,N,福島県,-
,,,N,ICC,-
,,,N,鹿児島県警,-
,,,Y,損保ジャパン,-
,,,N,ICC,-
,,,N,高知県,-
,,,Y,野村,野村ホールディングス
,,,Y,損保J,-
,,,N,ICC,-
,,,N,国税,-
,,,N,ICC,-
,,,N,ICC,-
,,,Y,カナデビア,-
,,,N,-,-
,,,N,県民信組,-
,,,N,ICC,-
,,,N,-,-
,,,N,ICC,-
,,,N,-,-
,,,N,吉川愛,-
,,,N,国税,-
,,,N,ICC,-
,,,N,ジャンポケ斉藤,-
,,,Y,カナデビア,-
,,,N,-,-
,,,N,ダウンタウン松本人志,-
,,,N,鹿児島県警,-
,,,Y,大手メーカー,-
,,,Y,アトレチコ鈴鹿,-
,,,N,ICC,-
,,,N,ICC,-
,,,N,ダウンタウン松本人志,-
,,,N,上重聡,-
,,,N,福島県,-
,,,N,ジャンポケ斉藤,-
,,,N,吉川愛,-
,,,N,ダウンタウン松本人志,-
,,,N,-,-
,,,N,鹿児島県警,-
,,,N,名優・生瀬勝久,-
,,,Y,THE BOYZ,-
,,,N,ICC,-
,,,N,ICC,-
,,,N,神奈川県警,-
,,,N,-,-
,,,N,名優・生瀬勝久,-
,,,N,ICC,-
,,,N,県警,-
,,,Y,アトレチコ鈴鹿,-
,,,N,盛山晋太郎,-
,,,Y,カナデビア,-
,,,N,国税,-
,,,N,福島県,-
,,,N,福島県,-
,,,N,神奈川県警,-
,,,N,鹿児島県警,-
,,,N,鹿児島県警,-
,,,Y,アトレチコ鈴鹿,-
,,,N,ICC,-
,,,N,名優・生瀬勝久,-
,,,Y,カナデビア,-
,,,N,松本人志,-
,,,N,名優・生瀬勝久,-
,,,Y,ウエルシア薬局,ウエルシアホールディングス
,,,Y,ダンロップスポーツ,住友ゴム工業株式会社
,,,Y,サンウェルズ,-
,,,N,警視庁,-
,,,Y,LIQUID Shield,-
,,,Y,ブックオフ,ブックオフグループホールディングス株式会社
,,,Y,日本生命,-
,,,N,大阪府警,-
,,,N,山形市,-
,,,Y,ツバキ・ナカシマ,ツバキ・ナカシマ株式会社
,,,Y,Akamai Account Protector,アカマイテクノロジーズ株式会社
,,,N,和泊町,-
,,,Y,-,-
,,,Y,ガス会社,-
,,,N,岡垣町,-
,,,Y,ビック・ママ,-
,,,N,大阪府警,-
,,,N,革マル派,-
,,,N,革労協主流派,-
,,,N,東証,-
,,,Y,ブックオフ,ブックオフグループホールディングス株式会社
,,,N,ICC,-
,,,Y,ウエルシア,ウエルシアホールディングス
,,,N,福岡地裁,-
,,,Y,トヨタ,トヨタ自動車株式会社
,,,N,岡山市,-
,,,N,平デジタル相,-
,,,N,会計検査院,-
,,,Y,ウエルシア,ウエルシアホールディングス
,,,Y,クラブツーリズム,-
,,,N,大阪府警,-
,,,N,-,-
,,,N,福岡地裁,-
,,,Y,下鴨茶寮オンラインショップ,-
,,,Y,グループホーム運営「恵」,-
,,,Y,-,-
,,,N,東北学院大学,-
,,,Y,-,-
,,,Y,ビック・ママ,-
,,,Y,松竹,-
,,,N,-,-
,,,Y,損保ジャパン,-
,,,N,JICA,-
,,,Y,ウエルシア薬局,-
,,,Y,-,-
,,,N,-,-
,,,Y,カナデビア,-
,,,N,-,-
,,,N,-,-
,,,Y,ブックオフ,-
,,,N,革労協活動家,-
,,,N,17歳の中国人数学天才少女,-
,,,Y,-,-
,,,N,旧BM,-
,,,Y,トヨタ,トヨタ自動車
,,,N,岡山市,-
,,,N,韓国大統領,-
,,,Y,the b 水道橋,-
,,,Y,トヨタ,トヨタ自動車
,,,N,-,-
,,,Y,PHOEBE BEAUTY UP,-
,,,N,-,-
,,,N,-,-
,,,N,-,-
,,,N,-,-
,,,Y,ツバキ・ナカシマ,-
,,,N,大阪府警,-
,,,N,-,-
